Source,Target,Weight,Type
fra_bertes,fra_aspremont,3,undirected
fra_bertes,fra_ogier,11,undirected
fra_bertes,fra_saxons,1,undirected
fra_bertes,rom_alexandre,6,undirected
fra_bertes,rom_thebes,2,undirected
fra_charroi,fra_aspremont,26,undirected
fra_charroi,fra_huon,7,undirected
fra_charroi,fra_louis,15,undirected
fra_charroi,fra_saxons,16,undirected
fra_charroi,rom_alexandre,1,undirected
fra_huon,bre_tristanber,1,undirected
fra_huon,fra_aspremont,7,undirected
fra_huon,fra_charroi,7,undirected
fra_huon,fra_louis,16,undirected
fra_louis,fra_aliscans,24,undirected
fra_louis,fra_aspremont,29,undirected
fra_louis,fra_charroi,15,undirected
fra_louis,fra_huon,16,undirected
fra_louis,fra_ogier,5,undirected
fra_louis,fra_saxons,4,undirected
fra_louis,rom_alexandre,11,undirected
fra_louis,rom_eneas,6,undirected
fra_louis,rom_eracle,3,undirected
fra_louis,rom_pyramus,5,undirected
fra_ogier,bre_tristanber,9,undirected
fra_ogier,fra_aspremont,2,undirected
fra_ogier,fra_bertes,11,undirected
fra_ogier,fra_louis,5,undirected
fra_ogier,fra_saxons,3,undirected
fra_ogier,rom_eneas,2,undirected
fra_ogier,rom_thebes,2,undirected
fra_saxons,fra_aliscans,1,undirected
fra_saxons,fra_aspremont,3,undirected
fra_saxons,fra_bertes,1,undirected
fra_saxons,fra_charroi,16,undirected
fra_saxons,fra_louis,4,undirected
fra_saxons,fra_ogier,3,undirected
fra_saxons,rom_pyramus,21,undirected
fra_saxons,rom_thebes,11,undirected
rom_alexandre,bre_charette,2,undirected
rom_alexandre,bre_graalcont,2,undirected
rom_alexandre,bre_graalcontun,1,undirected
rom_alexandre,fra_aliscans,5,undirected
rom_alexandre,fra_aspremont,3,undirected
rom_alexandre,fra_bertes,6,undirected
rom_alexandre,fra_charroi,1,undirected
rom_alexandre,fra_louis,11,undirected
rom_alexandre,rom_eneas,3,undirected
rom_alexandre,rom_thebes,16,undirected
rom_eneas,bre_graalcontun,2,undirected
rom_eneas,bre_yvain,4,undirected
rom_eneas,fra_aspremont,1,undirected
rom_eneas,fra_louis,6,undirected
rom_eneas,fra_ogier,2,undirected
rom_eneas,rom_alexandre,3,undirected
rom_eneas,rom_eracle,20,undirected
rom_eneas,rom_pyramus,7,undirected
rom_eneas,rom_thebes,30,undirected
rom_eracle,bre_charette,2,undirected
rom_eracle,bre_graal,8,undirected
rom_eracle,bre_graalcontun,4,undirected
rom_eracle,bre_yvain,10,undirected
rom_eracle,fra_louis,3,undirected
rom_eracle,rom_eneas,20,undirected
rom_eracle,rom_thebes,3,undirected
rom_pyramus,bre_tristantho,3,undirected
rom_pyramus,fra_aspremont,1,undirected
rom_pyramus,fra_louis,5,undirected
rom_pyramus,fra_saxons,21,undirected
rom_pyramus,rom_eneas,7,undirected
rom_pyramus,rom_thebes,1,undirected
rom_thebes,bre_charette,1,undirected
rom_thebes,bre_graal,10,undirected
rom_thebes,bre_graalcont,15,undirected
rom_thebes,bre_tristanber,12,undirected
rom_thebes,fra_aspremont,1,undirected
rom_thebes,fra_bertes,2,undirected
rom_thebes,fra_ogier,2,undirected
rom_thebes,fra_saxons,11,undirected
rom_thebes,rom_alexandre,16,undirected
rom_thebes,rom_eneas,30,undirected
rom_thebes,rom_eracle,3,undirected
rom_thebes,rom_pyramus,1,undirected
